Timestamp, Serial Number, Channel, Data, Unit of Measure
2023-May-10 21:13, 210993897, 2, 46.48, °C
2023-May-10 21:18, 210993897, 1, 46.49, °C
2023-May-10 21:18, 210993897, 2, 46.64, °C
2023-May-10 21:23, 210993897, 1, 46.66, °C
2023-May-10 21:23, 210993897, 2, 46.81, °C
2023-May-10 21:28, 210993897, 1, 46.81, °C
2023-May-10 21:28, 210993897, 2, 46.97, °C
2023-May-10 21:33, 210993897, 1, 46.95, °C
2023-May-10 21:33, 210993897, 2, 47.1, °C
2023-May-10 21:39, 210993897, 1, 47.07, °C
2023-May-10 21:39, 210993897, 2, 47.22, °C
2023-May-10 21:44, 210993897, 1, 47.18, °C
2023-May-10 21:44, 210993897, 2, 47.33, °C
2023-May-10 21:49, 210993897, 1, 47.29, °C
2023-May-10 21:49, 210993897, 2, 47.45, °C
2023-May-10 21:54, 210993897, 1, 47.41, °C
2023-May-10 21:54, 210993897, 2, 47.56, °C
2023-May-10 21:59, 210993897, 1, 47.51, °C
2023-May-10 21:59, 210993897, 2, 47.66, °C
2023-May-10 22:04, 210993897, 1, 47.62, °C
2023-May-10 22:04, 210993897, 2, 47.77, °C
2023-May-10 22:09, 210993897, 1, 47.73, °C
2023-May-10 22:09, 210993897, 2, 47.88, °C
2023-May-10 22:14, 210993897, 1, 47.84, °C
2023-May-10 22:14, 210993897, 2, 47.99, °C
2023-May-10 22:19, 210993897, 1, 47.94, °C
2023-May-10 22:19, 210993897, 2, 48.09, °C
2023-May-10 22:24, 210993897, 1, 48.02, °C
2023-May-10 22:24, 210993897, 2, 48.17, °C
2023-May-10 22:29, 210993897, 1, 48.1, °C
2023-May-10 22:29, 210993897, 2, 48.25, °C
2023-May-10 22:34, 210993897, 1, 48.18, °C
2023-May-10 22:34, 210993897, 2, 48.33, °C
2023-May-10 22:39, 210993897, 1, 48.25, °C
2023-May-10 22:39, 210993897, 2, 48.41, °C
2023-May-10 22:44, 210993897, 1, 48.33, °C
2023-May-10 22:44, 210993897, 2, 48.48, °C
2023-May-10 22:49, 210993897, 1, 48.42, °C
2023-May-10 22:49, 210993897, 2, 48.58, °C
2023-May-10 22:54, 210993897, 1, 48.52, °C
2023-May-10 22:54, 210993897, 2, 48.67, °C
2023-May-10 22:59, 210993897, 1, 48.59, °C
2023-May-10 22:59, 210993897, 2, 48.75, °C
2023-May-10 23:05, 210993897, 1, 48.66, °C
2023-May-10 23:05, 210993897, 2, 48.81, °C
2023-May-10 23:10, 210993897, 1, 48.72, °C
2023-May-10 23:10, 210993897, 2, 48.87, °C
2023-May-10 23:15, 210993897, 1, 48.77, °C
2023-May-10 23:15, 210993897, 2, 48.92, °C
2023-May-10 23:20, 210993897, 1, 48.83, °C
2023-May-10 23:20, 210993897, 2, 48.98, °C
2023-May-10 23:25, 210993897, 1, 48.9, °C
2023-May-10 23:25, 210993897, 2, 49.06, °C
2023-May-10 23:30, 210993897, 1, 48.97, °C
2023-May-10 23:30, 210993897, 2, 49.12, °C
2023-May-10 23:35, 210993897, 1, 49.02, °C
2023-May-10 23:35, 210993897, 2, 49.17, °C
2023-May-10 23:40, 210993897, 1, 49.06, °C
2023-May-10 23:40, 210993897, 2, 49.21, °C
2023-May-10 23:45, 210993897, 1, 49.1, °C
2023-May-10 23:45, 210993897, 2, 49.26, °C
2023-May-10 23:50, 210993897, 1, 49.15, °C
2023-May-10 23:50, 210993897, 2, 49.3, °C
2023-May-10 23:55, 210993897, 1, 49.19, °C
2023-May-10 23:55, 210993897, 2, 49.34, °C
2023-May-11 00:00, 210993897, 1, 49.24, °C
2023-May-11 00:00, 210993897, 2, 49.39, °C
2023-May-11 00:05, 210993897, 1, 49.29, °C
2023-May-11 00:05, 210993897, 2, 49.45, °C
2023-May-11 00:10, 210993897, 1, 49.37, °C
2023-May-11 00:10, 210993897, 2, 49.52, °C
2023-May-11 00:15, 210993897, 1, 49.42, °C
2023-May-11 00:15, 210993897, 2, 49.57, °C
2023-May-11 00:20, 210993897, 1, 49.45, °C
2023-May-11 00:20, 210993897, 2, 49.6, °C
2023-May-11 00:25, 210993897, 1, 49.48, °C
2023-May-11 00:25, 210993897, 2, 49.63, °C
2023-May-11 00:30, 210993897, 1, 49.51, °C
2023-May-11 00:30, 210993897, 2, 49.66, °C
2023-May-11 00:35, 210993897, 1, 49.53, °C
2023-May-11 00:35, 210993897, 2, 49.68, °C
2023-May-11 00:40, 210993897, 1, 49.55, °C
2023-May-11 00:40, 210993897, 2, 49.7, °C
2023-May-11 00:45, 210993897, 1, 49.59, °C
2023-May-11 00:45, 210993897, 2, 49.74, °C
2023-May-11 00:50, 210993897, 1, 49.62, °C
2023-May-11 00:50, 210993897, 2, 49.77, °C
2023-May-11 00:55, 210993897, 1, 49.65, °C
2023-May-11 00:55, 210993897, 2, 49.81, °C
2023-May-11 01:01, 210993897, 1, 49.7, °C
2023-May-11 01:01, 210993897, 2, 49.85, °C
2023-May-11 01:06, 210993897, 1, 49.74, °C
2023-May-11 01:06, 210993897, 2, 49.89, °C
2023-May-11 01:11, 210993897, 1, 49.76, °C
2023-May-11 01:11, 210993897, 2, 49.91, °C
2023-May-11 01:16, 210993897, 1, 49.77, °C
2023-May-11 01:16, 210993897, 2, 49.93, °C
2023-May-11 01:21, 210993897, 1, 49.78, °C
2023-May-11 01:21, 210993897, 2, 49.93, °C
2023-May-11 01:26, 210993897, 1, 49.8, °C
2023-May-11 01:26, 210993897, 2, 49.95, °C
2023-May-11 01:31, 210993897, 1, 49.81, °C
2023-May-11 01:31, 210993897, 2, 49.96, °C
2023-May-11 01:36, 210993897, 1, 49.83, °C
2023-May-11 01:36, 210993897, 2, 49.98, °C
2023-May-11 01:41, 210993897, 1, 49.85, °C
2023-May-11 01:41, 210993897, 2, 50, °C
2023-May-11 01:46, 210993897, 1, 49.87, °C
