Timestamp for sample frequency every 1 min min, Temperature_Celsius,Relative_Humidity
2023-04-14 13:29:00,24.2,35.6
2023-04-14 13:30:00,24.2,35.6
2023-04-14 13:31:00,24.2,35.6
2023-04-14 13:32:00,24.2,35.5
2023-04-14 13:33:00,24.2,35.5
2023-04-14 13:34:00,24.2,35.5
2023-04-14 13:35:00,24.2,35.5
2023-04-14 13:36:00,24.2,35.4
2023-04-14 13:37:00,24.1,35.4
2023-04-14 13:38:00,24.1,35.5
2023-04-14 13:39:00,24.1,35.5
2023-04-14 13:40:00,24.1,35.6
2023-04-14 13:41:00,24.1,35.7
2023-04-14 13:42:00,24.1,35.7
2023-04-14 13:43:00,24.1,35.7
2023-04-14 13:44:00,24.1,35.7
2023-04-14 13:45:00,24.1,35.7
2023-04-14 13:46:00,24.1,35.7
2023-04-14 13:47:00,24.1,35.6
2023-04-14 13:48:00,24.2,35.6
2023-04-14 13:49:00,24.1,35.7
2023-04-14 13:50:00,24.1,35.7
2023-04-14 13:51:00,24.1,35.7
2023-04-14 13:52:00,24.1,35.7
2023-04-14 13:53:00,24.2,35.7
2023-04-14 13:54:00,24.2,35.7
2023-04-14 13:55:00,24.2,35.7
2023-04-14 13:56:00,24.2,35.7
2023-04-14 13:57:00,24.2,35.7
2023-04-14 13:58:00,24.1,35.7
2023-04-14 13:59:00,24.1,35.7
2023-04-14 14:00:00,24.1,35.7
2023-04-14 14:01:00,24.1,35.6
2023-04-14 14:02:00,24.1,35.8
2023-04-14 14:03:00,24.1,35.8
2023-04-14 14:04:00,24.1,35.8
2023-04-14 14:05:00,24.1,35.8
2023-04-14 14:06:00,24.1,35.8
2023-04-14 14:07:00,24.1,35.8
2023-04-14 14:08:00,24.1,35.7
2023-04-14 14:09:00,24.1,35.7
2023-04-14 14:10:00,24.1,35.7
2023-04-14 14:11:00,24.1,35.7
2023-04-14 14:12:00,24.1,35.8
2023-04-14 14:13:00,24,35.9
2023-04-14 14:14:00,24,35.9
2023-04-14 14:15:00,24,35.9
2023-04-14 14:16:00,24,36
2023-04-14 14:17:00,24,36.1
2023-04-14 14:18:00,24,36.1
2023-04-14 14:19:00,24,36.1
2023-04-14 14:20:00,24,36.1
2023-04-14 14:21:00,24,36.2
2023-04-14 14:22:00,24,36.2
2023-04-14 14:23:00,24,36.2
2023-04-14 14:24:00,24,36.2
2023-04-14 14:25:00,24,36.3
2023-04-14 14:26:00,24,36.3
2023-04-14 14:27:00,24,36.2
2023-04-14 14:28:00,24,36.3
2023-04-14 14:29:00,24,36.3
2023-04-14 14:30:00,24,36.3
2023-04-14 14:31:00,24,36.4
2023-04-14 14:32:00,24,36.4
2023-04-14 14:33:00,24,36.4
2023-04-14 14:34:00,24,36.4
2023-04-14 14:35:00,24,36.4
2023-04-14 14:36:00,24,36.4
2023-04-14 14:37:00,24,36.4
2023-04-14 14:38:00,24,36.4
2023-04-14 14:39:00,24,36.4
2023-04-14 14:40:00,24,36.3
2023-04-14 14:41:00,23.9,36.4
2023-04-14 14:42:00,23.9,36.5
2023-04-14 14:43:00,23.9,36.6
2023-04-14 14:44:00,23.9,36.6
2023-04-14 14:45:00,23.9,36.6
2023-04-14 14:46:00,23.9,36.6
2023-04-14 14:47:00,23.9,36.6
2023-04-14 14:48:00,23.9,36.6
2023-04-14 14:49:00,23.9,36.5
2023-04-14 14:50:00,23.9,36.5
2023-04-14 14:51:00,23.9,36.5
2023-04-14 14:52:00,23.9,36.6
2023-04-14 14:53:00,23.9,36.5
2023-04-14 14:54:00,24,36.6
2023-04-14 14:55:00,24,36.5
2023-04-14 14:56:00,24,36.5
2023-04-14 14:57:00,24,36.5
2023-04-14 14:58:00,24,36.5
2023-04-14 14:59:00,24,36.4
2023-04-14 15:00:00,24,36.4
2023-04-14 15:01:00,24,36.4
2023-04-14 15:02:00,24,36.4
2023-04-14 15:03:00,24,36.3
2023-04-14 15:04:00,24,36.4
2023-04-14 15:05:00,24,36.4
2023-04-14 15:06:00,24,36.4
2023-04-14 15:07:00,24,36.4
2023-04-14 15:08:00,24,36.3
2023-04-14 15:09:00,24,36.3
2023-04-14 15:10:00,24,36.3
2023-04-14 15:11:00,23.9,36.4
2023-04-14 15:12:00,23.9,36.4
2023-04-14 15:13:00,24,36.4
2023-04-14 15:14:00,24,36.3
2023-04-14 15:15:00,24,36.3
2023-04-14 15:16:00,24,36.4
2023-04-14 15:17:00,23.9,36.3
