Time,B,C,Ab L,Ab R,AUR,ALR,ALL,AUL
1970-02-01 12:53:22,,,,,,,,
1970-02-01 12:53:23,,,,,,,,
1970-02-01 12:53:25,,,,,,,,
1970-02-01 12:53:26,,,,,,,,
1970-02-01 12:53:27,,,,,,,-5.655,
1970-02-01 12:53:28,,,,,,,,
1970-02-01 12:53:29,,,,,,,,
1970-02-01 12:53:30,,,,,,,,
1970-02-01 12:53:31,,,,,,,,
1970-02-01 12:53:32,,,,,,,,
1970-02-01 12:53:33,,,,,,,,
1970-02-01 12:53:34,,,,,,,,
1970-02-01 12:53:35,,,,,,,,
1970-02-01 12:53:37,,,,,,,,
1970-02-01 12:53:38,,,,,,,,
1970-02-01 12:53:39,,,,,,,,
1970-02-01 12:53:40,,,,,,,,
1970-02-01 12:53:41,,,,,,,,
1970-02-01 12:53:42,,,,,,,,
1970-02-01 12:53:43,,,,,,,,
1970-02-01 12:53:44,,,,,,,,
1970-02-01 12:53:46,,,,,,,,
1970-02-01 12:53:47,,,,,-5.7775,,,
1970-02-01 12:53:48,,,,,-5.75,,,
1970-02-01 12:53:50,,,,,,,,
1970-02-01 12:53:51,,,,,,,,
1970-02-01 12:53:52,,,,,,,-5.32,
1970-02-01 12:53:53,,,,,,,,
1970-02-01 12:53:54,,,,,,,,
1970-02-01 12:53:56,,,,,,,-5.05,
1970-02-01 12:53:57,,,,,,,,
1970-02-01 12:53:58,,,,,,,,
1970-02-01 12:53:59,,,,,,,,
1970-02-01 12:54:00,,,,,,,,
1970-02-01 12:54:03,,,,,,,,
1970-02-01 12:54:04,,,,,,,,
1970-02-01 12:54:05,,,,,,,,-7.785
1970-02-01 12:54:06,,,-4.088333333,,,,-5.59,-7.98
1970-02-01 12:54:07,,,-4.135,,,,-5.186666667,-7.59
1970-02-01 12:54:08,,,-3.7,,,,-5.785,-8.066666667
1970-02-01 12:54:09,,,-3.665,,,,-5.39,-7.59
1970-02-01 12:54:10,,,-3.36,,,,-5.368333333,-7.655
1970-02-01 12:54:11,,,-3.711666667,,,,-5.456666667,-7.915
1970-02-01 12:54:12,,,-4.075,,,,-5.26,-7.969166667
1970-02-01 12:54:13,,,-4.243333333,,,,-5.25,-7.546666667
1970-02-01 12:54:14,,,-4,,,,,-8.11
1970-02-01 12:54:15,,,-4.253333333,,,,-5.185,-7.85
1970-02-01 12:54:16,,,-4.065,,,,-4.72,-8.18
1970-02-01 12:54:17,,,-3.54,,,,-5.46,-7.958333333
1970-02-01 12:54:18,,,-4.386666667,,,,-5.093333333,-8.0175
1970-02-01 12:54:19,,,-3.865,,,,-4.913333333,-7.33
1970-02-01 12:54:20,,,,,,,-4.741666667,-7.33
1970-02-01 12:54:21,,,,,,,-4.966666667,
1970-02-01 12:54:22,,,,,,,,
1970-02-01 12:54:23,,,,,,,-5.166666667,
1970-02-01 12:54:24,,,,,,,-5.103333333,
1970-02-01 12:54:25,,,,,,,,
1970-02-01 12:54:26,,,,,,,,
1970-02-01 12:54:27,,,,,,,-4.8175,
1970-02-01 12:54:28,,,-3.716666667,,,,-5.055,-7.373333333
1970-02-01 12:54:29,,,-4.065,,,,-5.05,-7.33
1970-02-01 12:54:30,,,-3.74,,,,,-7.2975
1970-02-01 12:54:31,,,,,,,-4.99,-7.265
1970-02-01 12:54:32,,-4.13,,,,,-5.065,
1970-02-01 12:54:33,,-4.04,,,,,-5.038333333,-7.2
1970-02-01 12:54:34,,-3.905,,,,,-4.79,
1970-02-01 12:54:35,,-3.705,,,,,-4.67,-7.156666667
1970-02-01 12:54:36,,-3.77,,,,,-5.11,-6.87
1970-02-01 12:54:37,,-4.04,,,,,-4.795,-7.201666667
1970-02-01 12:54:38,,,-4.275,,,,,-7.31
1970-02-01 12:54:39,,,,,,,-4.780666667,-7.286666667
1970-02-01 12:54:40,,,,,,,-4.655,-6.94
1970-02-01 12:54:41,,,,,,,-4.836666667,-6.908333333
1970-02-01 12:54:42,,,,,,,-5,-6.936666667
1970-02-01 12:54:43,,,,,,,-4.818333333,-6.803333333
1970-02-01 12:54:44,,-4.18,,,,,-5.0975,-7.6
1970-02-01 12:54:45,,-3.775,,,,,,-7.168333333
1970-02-01 12:54:46,,,,,,,-4.72,-7.593333333
1970-02-01 12:54:47,,,,,,,-4.65,-7.416666667
1970-02-01 12:54:48,,-4.04,-3.94,,,,-4.715,-7.795
1970-02-01 12:54:49,,,,,,,,
1970-02-01 12:54:50,,,,,,,,
1970-02-01 12:54:51,,,,,,,,
1970-02-01 12:54:52,,,,,,,,
1970-02-01 12:54:54,,,,,,,,
1970-02-01 12:54:55,,,,,,,,
1970-02-01 12:54:56,,,,,,,,
1970-02-01 12:54:57,,,,,,,,
1970-02-01 12:54:58,,,,,,,,
1970-02-01 12:54:59,,,,,,,,
1970-02-01 12:55:00,,,,,,,,
1970-02-01 12:55:01,,,,,,,-4.8,
1970-02-01 12:55:02,,,,,,,,
1970-02-01 12:55:03,,,,,,,,
1970-02-01 12:55:04,,,,,,,,
1970-02-01 12:55:05,,,,,,,,
1970-02-01 12:55:06,,,,,,,,
1970-02-01 12:55:07,,,,,,,,
1970-02-01 12:55:08,,,,,,,,
1970-02-01 12:55:09,,,,,,,,-7.33
1970-02-01 12:55:10,,,,,,,,-7.46
1970-02-01 12:55:11,,,,,,,,
1970-02-01 12:55:13,,,,,,,,
1970-02-01 12:55:17,,,,,,,,
1970-02-01 12:55:18,,,,,,,,
1970-02-01 12:55:19,,,,,,,,
1970-02-01 12:55:20,,,,,,,,
1970-02-01 12:55:21,,,,,,,,
1970-02-01 12:55:22,,,,,,,,
1970-02-01 12:55:23,,,,,,,,
1970-02-01 12:55:24,,,,,,,,
1970-02-01 12:55:25,,,,,,,,
1970-02-01 12:55:26,,,,,,,,
1970-02-01 12:55:27,,,-3.555,,,,,
1970-02-01 12:55:28,,,,,,,,
1970-02-01 12:55:29,,,,,,,,
1970-02-01 12:55:30,,,,,,,,
1970-02-01 12:55:31,,,,,,,,
1970-02-01 12:55:32,,,,,,,,
1970-02-01 12:55:34,,,,,,,,
1970-02-01 12:55:35,,,,,,,,
1970-02-01 12:55:36,,,,,,,,
1970-02-01 12:55:38,,,,,,,,
1970-02-01 12:55:40,,,,,,,,
1970-02-01 12:55:41,,,,,,,,
1970-02-01 12:55:43,,,,,,,,
1970-02-01 12:55:44,,,,,,,,-8.25
1970-02-01 12:55:45,,,,,-5.57,,,
1970-02-01 12:55:46,,,,,-5.523333333,,-5.256666667,
1970-02-01 12:55:47,,,,,,,-5.525,
1970-02-01 12:55:48,,,,,,,,
1970-02-01 12:55:49,,,,,,,,-8.25
1970-02-01 12:55:50,,,,,,,-5.595,
1970-02-01 12:55:51,,,,,,,-5.65,
1970-02-01 12:55:52,,,,,,,-5.18,
1970-02-01 12:55:53,,,,,,,-5.58,
1970-02-01 12:55:54,,,,,,,-5.645,
1970-02-01 12:55:55,,,,,-6.39,,,
1970-02-01 12:55:56,,,,,,,-5.76,
1970-02-01 12:55:57,,,,,,,,-7.513333333
1970-02-01 12:55:58,,,,,,,,
1970-02-01 12:55:59,,,,,,,,
1970-02-01 12:56:00,,,,,,,,
1970-02-01 12:56:01,,,,,,,,
1970-02-01 12:56:02,,,,,,,,
1970-02-01 12:56:03,,,,,,,,
1970-02-01 12:56:04,,,,,,,,-7.643333333
1970-02-01 12:56:05,,,-3.81,,,,,
1970-02-01 12:56:06,,,-3.673333333,,,,-5.175,
1970-02-01 12:56:07,,,-3.875,,,,-5.25,-7.59
1970-02-01 12:56:08,,,,,,,-5.385,
1970-02-01 12:56:09,,,-3.943333333,,-5.835,,,
1970-02-01 12:56:10,,,-3.355,,,,,
1970-02-01 12:56:11,,,-4.215,,,,-5.11,-7.66
1970-02-01 12:56:12,,,,,-7.2,,-5.58,
1970-02-01 12:56:13,,,,,,,-6.245,-7.73
1970-02-01 12:56:14,,-5.79,,,,,-5.725,-7.73
1970-02-01 12:56:15,,-5.045,,,-6.926666667,,,-8.38
1970-02-01 12:56:16,,,,,,,-6.39,-7.59
1970-02-01 12:56:17,,,,,-6.8,,-5.72,-7.335
1970-02-01 12:56:18,,,-4.28,,,,-5.795,
1970-02-01 12:56:19,,,,,,,,-7.595
1970-02-01 12:56:20,,,,,-6.995,,-5.25,
1970-02-01 12:56:21,,-4.71,,,,,,
1970-02-01 12:56:22,,,,,-7.13,,,
1970-02-01 12:56:23,,,,,-7.095,,,-6.87
1970-02-01 12:56:24,,,-3.81,,,,,
1970-02-01 12:56:25,,,-4.07,,-8.215,,,
1970-02-01 12:56:26,,,,,,-9.9,,-7.005
1970-02-01 12:56:27,-4.97,,,,-7.065,,,
1970-02-01 12:56:28,,,-4.46,,-7.243333333,,,-6.94
1970-02-01 12:56:29,,,,,-7.6,,-5.31,-6.373333333
1970-02-01 12:56:30,,,,,,,-5.71,-6.29
1970-02-01 12:56:31,,,,,,-10.1,-5.655,
1970-02-01 12:56:32,,,-4.47,,-5.84,,-5.85,
1970-02-01 12:56:33,-4.64,,,,,,-5.65,
1970-02-01 12:56:34,,,,,,,-5.65,
1970-02-01 12:56:35,,-4.57,,,,,,
1970-02-01 12:56:36,-5.035,,-3.843333333,,-6.93,,-5.58,
1970-02-01 12:56:37,-4.83,,,,-6.795,,-5.31,
1970-02-01 12:56:38,,,-4.475,,-7.47,,-5.45,
1970-02-01 12:56:39,,,,,-6.795,,-5.78,
1970-02-01 12:56:40,,,-4.47,,,,,
1970-02-01 12:56:41,,,,,-6.8,,,
1970-02-01 12:56:44,,,,,,,,
1970-02-01 12:56:48,,,,,,,,
1970-02-01 12:56:50,,,,,,,,
1970-02-01 12:56:51,,,,,,,,
1970-02-01 12:56:56,,,,,,,,
1970-02-01 12:57:07,,,,,,,,
1970-02-01 12:57:19,,,,,,,,
1970-02-01 12:57:22,,,,,,,,
1970-02-01 12:57:24,,,,,,,,
1970-02-01 12:57:26,,,,,,,,
1970-02-01 12:57:27,,,,,,,,
1970-02-01 12:57:28,,,,,,,,
1970-02-01 12:57:29,,,,,,,,
