Note that the water temp is 1 hour ahead of the tags time
AT	3/24/2023	16:08:39	,5s,	31.2	C	
AT	3/24/2023	16:08:44	,5s,	31.2	C	
AT	3/24/2023	16:08:49	,5s,	31.3	C	
AT	3/24/2023	16:08:54	,5s,	31.3	C	
AT	3/24/2023	16:08:59	,5s,	31.3	C	
AT	3/24/2023	16:09:04	,5s,	31.3	C	
AT	3/24/2023	16:09:09	,5s,	31.3	C	
AT	3/24/2023	16:09:14	,5s,	31.3	C	
AT	3/24/2023	16:09:19	,5s,	31.3	C	
AT	3/24/2023	16:09:24	,5s,	31.3	C	
AT	3/24/2023	16:09:29	,5s,	31.3	C	
AT	3/24/2023	16:09:34	,5s,	31.3	C	
AT	3/24/2023	16:09:39	,5s,	31.3	C	
AT	3/24/2023	16:09:44	,5s,	31.3	C	
AT	3/24/2023	16:09:49	,5s,	31.3	C	
AT	3/24/2023	16:09:54	,5s,	31.3	C	
AT	3/24/2023	16:09:59	,5s,	31.3	C	
AT	3/24/2023	16:10:04	,5s,	31.3	C	
AT	3/24/2023	16:10:09	,5s,	31.3	C	
AT	3/24/2023	16:10:14	,5s,	31.3	C	
AT	3/24/2023	16:10:19	,5s,	31.4	C	
AT	3/24/2023	16:10:24	,5s,	31.4	C	
AT	3/24/2023	16:10:29	,5s,	31.4	C	
AT	3/24/2023	16:10:34	,5s,	31.4	C	
AT	3/24/2023	16:10:39	,5s,	31.4	C	
AT	3/24/2023	16:10:44	,5s,	31.4	C	
AT	3/24/2023	16:10:49	,5s,	31.4	C	
AT	3/24/2023	16:10:54	,5s,	31.4	C	
AT	3/24/2023	16:10:59	,5s,	31.4	C	
AT	3/24/2023	16:11:04	,5s,	31.4	C	
AT	3/24/2023	16:11:09	,5s,	31.4	C	
AT	3/24/2023	16:11:14	,5s,	31.4	C	
AT	3/24/2023	16:11:19	,5s,	31.4	C	
AT	3/24/2023	16:11:24	,5s,	31.4	C	
AT	3/24/2023	16:11:29	,5s,	31.4	C	
AT	3/24/2023	16:11:34	,5s,	31.4	C	
AT	3/24/2023	16:11:39	,5s,	31.4	C	
AT	3/24/2023	16:11:44	,5s,	31.4	C	
AT	3/24/2023	16:11:49	,5s,	31.4	C	
AT	3/24/2023	16:11:54	,5s,	31.4	C	
AT	3/24/2023	16:11:59	,5s,	31.4	C	
AT	3/24/2023	16:12:04	,5s,	31.4	C	
AT	3/24/2023	16:12:09	,5s,	31.5	C	
AT	3/24/2023	16:12:14	,5s,	31.5	C	
AT	3/24/2023	16:12:19	,5s,	31.5	C	
AT	3/24/2023	16:12:24	,5s,	31.5	C	
AT	3/24/2023	16:12:29	,5s,	31.5	C	
AT	3/24/2023	16:12:34	,5s,	31.5	C	
AT	3/24/2023	16:12:39	,5s,	31.5	C	
AT	3/24/2023	16:12:44	,5s,	31.5	C	
