E282403E000207D6F97754C9
[
14:19:30
14:19:36
14:19:41
14:19:45
14:19:46
14:19:49
14:20:01
14:20:18
14:20:24
14:20:24
14:20:27
14:20:30
14:20:31
14:20:32
14:20:33
14:20:36
14:20:41
14:20:45
14:21:04
14:21:06
14:21:10
14:21:11
14:21:17
14:21:19
14:21:34
14:21:35
14:21:38
14:21:46
14:21:50
14:21:58
14:22:00
14:22:04
14:22:24
14:22:30
14:22:31
14:22:36
14:22:39
14:22:55
14:22:57
14:22:59
14:23:00
14:23:05
14:23:05
14:23:08
14:23:08
14:23:10
14:23:17
14:23:18
14:23:19
14:23:20
14:23:22
14:23:25
14:23:28
14:23:36
14:23:37
14:23:40
14:23:42
14:23:44
14:23:46
14:23:55
14:24:03
14:24:04
14:24:06
14:24:10
14:24:11
14:24:18
14:24:23
14:24:28
14:24:28
14:24:45
14:24:46
14:25:11
14:25:23
14:25:25
14:25:29
14:25:31
14:25:35
14:25:36
14:25:43
14:25:49
14:25:51
14:25:52
14:25:55
14:26:10
14:26:12
14:26:13
14:26:17
14:26:19
14:26:20
14:26:23
14:26:33
14:26:37
14:26:42
14:26:44
14:26:48
14:26:49
14:26:54
14:27:16
14:27:21
14:27:26
14:27:41
14:27:42
14:28:01
14:28:03
14:28:10
14:28:12
14:28:15
14:28:20
14:28:21
14:28:27
14:28:49
14:28:50
14:28:57
14:28:57
14:29:02
14:29:04
14:29:14
14:29:18
14:29:24
14:29:27
14:29:33
14:29:33
14:29:38
14:29:46
14:29:59
14:30:11
14:30:11
14:30:14
14:30:34
14:30:36
14:30:43
14:30:43
14:30:47
14:31:05
14:31:07
14:31:22
14:31:25
14:31:29
14:31:31
14:31:33
14:31:42
14:31:51
14:31:57
14:32:01
14:32:09
14:32:09
14:32:20
14:32:39
14:32:50
14:32:54
14:33:00
14:33:24
14:33:27
14:33:29
14:33:34
14:33:35
14:33:37
14:34:27
14:34:28
14:34:37
14:34:41
14:34:42
14:34:51
14:35:11
14:35:22
14:35:29
14:35:35
14:35:55
14:36:18
14:36:19
14:36:19
14:36:20
14:36:50
14:36:54
14:37:09
14:37:13
14:37:14
14:37:31
14:37:50
14:38:05
14:38:20
14:38:44
14:38:53
14:38:58
14:38:59
14:39:11
14:39:19
14:39:39
14:39:41
14:39:47
14:39:54
]
[
23.9
23.54
23.93
23.54
23.8
23.93
23.67
23.54
23.54
23.8
23.93
23.41
23.8
23.67
23.8
23.67
23.67
23.8
23.67
23.93
23.41
23.8
23.8
23.54
24.06
24.06
24.19
23.93
23.8
23.54
23.8
23.93
23.67
23.8
23.54
23.93
23.54
23.67
23.67
23.8
23.54
23.54
23.67
23.8
23.8
23.8
23.28
23.67
23.8
23.28
23.54
23.54
23.93
23.8
23.8
23.8
23.67
23.93
24.19
23.54
23.93
23.93
23.41
23.54
23.93
23.93
23.8
23.93
23.41
23.54
24.06
23.67
23.54
23.67
23.8
23.41
23.41
23.54
24.06
23.8
23.8
23.67
23.67
23.67
23.8
23.93
23.93
24.19
23.8
23.54
23.8
23.8
24.19
23.41
23.8
23.8
23.93
23.54
23.8
23.8
23.67
23.54
23.8
23.54
23.8
23.93
23.67
23.8
23.8
23.41
23.8
23.67
23.93
23.67
23.8
23.8
