Timestamp, Serial Number, Channel, Data, Unit of Measure
2023-May-09 21:17,210993897, 1,29.84, °C
2023-May-09 21:17,210993897, 2,29.98, °C
2023-May-09 21:22,210993897, 1,29.65, °C
2023-May-09 21:22,210993897, 2,29.8, °C
2023-May-09 21:27,210993897, 1,29.48, °C
2023-May-09 21:27,210993897, 2,29.63, °C
2023-May-09 21:32,210993897, 1,29.32, °C
2023-May-09 21:32,210993897, 2,29.47, °C
2023-May-09 21:37,210993897, 1,29.17, °C
2023-May-09 21:37,210993897, 2,29.31, °C
2023-May-09 21:42,210993897, 1,29.01, °C
2023-May-09 21:42,210993897, 2,29.16, °C
2023-May-09 21:48,210993897, 1,28.84, °C
2023-May-09 21:48,210993897, 2,28.98, °C
2023-May-09 21:53,210993897, 1,28.69, °C
2023-May-09 21:53,210993897, 2,28.84, °C
2023-May-09 21:58,210993897, 1,28.55, °C
2023-May-09 21:58,210993897, 2,28.7, °C
2023-May-09 22:03,210993897, 1,28.42, °C
2023-May-09 22:03,210993897, 2,28.57, °C
2023-May-09 22:08,210993897, 1,28.29, °C
2023-May-09 22:08,210993897, 2,28.44, °C
2023-May-09 22:13,210993897, 1,28.14, °C
2023-May-09 22:13,210993897, 2,28.3, °C
2023-May-09 22:18,210993897, 1,28.02, °C
2023-May-09 22:18,210993897, 2,28.16, °C
2023-May-09 22:23,210993897, 1,27.9, °C
2023-May-09 22:23,210993897, 2,28.05, °C
2023-May-09 22:28,210993897, 1,27.79, °C
2023-May-09 22:28,210993897, 2,27.93, °C
2023-May-09 22:33,210993897, 1,27.67, °C
2023-May-09 22:33,210993897, 2,27.81, °C
2023-May-09 22:38,210993897, 1,27.54, °C
2023-May-09 22:38,210993897, 2,27.69, °C
2023-May-09 22:43,210993897, 1,27.42, °C
2023-May-09 22:43,210993897, 2,27.57, °C
2023-May-09 22:48,210993897, 1,27.31, °C
2023-May-09 22:48,210993897, 2,27.46, °C
2023-May-09 22:53,210993897, 1,27.22, °C
2023-May-09 22:53,210993897, 2,27.36, °C
2023-May-09 22:58,210993897, 1,27.11, °C
2023-May-09 22:58,210993897, 2,27.26, °C
2023-May-09 23:03,210993897, 1,27, °C
2023-May-09 23:03,210993897, 2,27.15, °C
2023-May-09 23:08,210993897, 1,26.9, °C
2023-May-09 23:08,210993897, 2,27.05, °C
2023-May-09 23:13,210993897, 1,26.81, °C
2023-May-09 23:13,210993897, 2,26.96, °C
2023-May-09 23:18,210993897, 1,26.72, °C
2023-May-09 23:18,210993897, 2,26.87, °C
2023-May-09 23:23,210993897, 1,26.63, °C
2023-May-09 23:23,210993897, 2,26.78, °C
2023-May-09 23:29,210993897, 1,26.56, °C
2023-May-09 23:29,210993897, 2,26.7, °C
2023-May-09 23:34,210993897, 1,26.48, °C
2023-May-09 23:34,210993897, 2,26.63, °C
2023-May-09 23:39,210993897, 1,26.41, °C
2023-May-09 23:39,210993897, 2,26.56, °C
2023-May-09 23:44,210993897, 1,26.33, °C
2023-May-09 23:44,210993897, 2,26.48, °C
2023-May-09 23:49,210993897, 1,26.25, °C
2023-May-09 23:49,210993897, 2,26.4, °C
2023-May-09 23:54,210993897, 1,26.17, °C
2023-May-09 23:54,210993897, 2,26.31, °C
2023-May-09 23:59,210993897, 1,26.08, °C
2023-May-09 23:59,210993897, 2,26.24, °C
2023-May-10 00:04,210993897, 1,26.01, °C
2023-May-10 00:04,210993897, 2,26.16, °C
2023-May-10 00:09,210993897, 1,25.95, °C
2023-May-10 00:09,210993897, 2,26.1, °C
2023-May-10 00:14,210993897, 1,25.88, °C
2023-May-10 00:14,210993897, 2,26.03, °C
2023-May-10 00:19,210993897, 1,25.81, °C
2023-May-10 00:19,210993897, 2,25.95, °C
2023-May-10 00:24,210993897, 1,25.74, °C
2023-May-10 00:24,210993897, 2,25.89, °C
2023-May-10 00:29,210993897, 1,25.68, °C
2023-May-10 00:29,210993897, 2,25.83, °C
2023-May-10 00:34,210993897, 1,25.62, °C
2023-May-10 00:34,210993897, 2,25.77, °C
2023-May-10 00:39,210993897, 1,25.57, °C
2023-May-10 00:39,210993897, 2,25.71, °C
2023-May-10 00:44,210993897, 1,25.5, °C
2023-May-10 00:44,210993897, 2,25.65, °C
2023-May-10 00:49,210993897, 1,25.42, °C
2023-May-10 00:49,210993897, 2,25.58, °C
2023-May-10 00:54,210993897, 1,25.36, °C
2023-May-10 00:54,210993897, 2,25.51, °C
2023-May-10 00:59,210993897, 1,25.31, °C
2023-May-10 00:59,210993897, 2,25.46, °C
2023-May-10 01:04,210993897, 1,25.26, °C
2023-May-10 01:04,210993897, 2,25.41, °C
2023-May-10 01:09,210993897, 1,25.22, °C
2023-May-10 01:09,210993897, 2,25.36, °C
2023-May-10 01:14,210993897, 1,25.17, °C
2023-May-10 01:14,210993897, 2,25.31, °C
2023-May-10 01:20,210993897, 1,25.11, °C
2023-May-10 01:20,210993897, 2,25.26, °C
2023-May-10 01:25,210993897, 1,25.05, °C
2023-May-10 01:25,210993897, 2,25.2, °C
2023-May-10 01:30,210993897, 1,25, °C
2023-May-10 01:30,210993897, 2,25.15, °C
2023-May-10 01:35,210993897, 1,24.96, °C
2023-May-10 01:35,210993897, 2,25.1, °C
2023-May-10 01:40,210993897, 1,24.91, °C
2023-May-10 01:40,210993897, 2,25.06, °C
2023-May-10 01:45,210993897, 1,24.88, °C
2023-May-10 01:45,210993897, 2,25.02, °C
2023-May-10 01:50,210993897, 1,24.84, °C
2023-May-10 01:50,210993897, 2,24.98, °C
2023-May-10 01:55,210993897, 1,24.78, °C
2023-May-10 01:55,210993897, 2,24.94, °C
2023-May-10 02:00,210993897, 1,24.73, °C
2023-May-10 02:00,210993897, 2,24.88, °C
2023-May-10 02:05,210993897, 1,24.69, °C
2023-May-10 02:05,210993897, 2,24.83, °C
2023-May-10 02:10,210993897, 1,24.65, °C
2023-May-10 02:10,210993897, 2,24.79, °C
2023-May-10 02:15,210993897, 1,24.61, °C
2023-May-10 02:15,210993897, 2,24.76, °C
2023-May-10 02:20,210993897, 1,24.58, °C
2023-May-10 02:20,210993897, 2,24.72, °C
2023-May-10 02:25,210993897, 1,24.54, °C
2023-May-10 02:25,210993897, 2,24.69, °C
2023-May-10 02:30,210993897, 1,24.51, °C
2023-May-10 02:30,210993897, 2,24.65, °C
2023-May-10 02:35,210993897, 1,24.46, °C
2023-May-10 02:35,210993897, 2,24.61, °C
2023-May-10 02:40,210993897, 1,24.42, °C
2023-May-10 02:40,210993897, 2,24.57, °C
2023-May-10 02:45,210993897, 1,24.39, °C
2023-May-10 02:45,210993897, 2,24.54, °C
2023-May-10 02:51,210993897, 1,24.36, °C
2023-May-10 02:51,210993897, 2,24.51, °C
2023-May-10 02:56,210993897, 1,24.34, °C
2023-May-10 02:56,210993897, 2,24.48, °C
2023-May-10 03:01,210993897, 1,24.31, °C
2023-May-10 03:01,210993897, 2,24.46, °C
2023-May-10 03:06,210993897, 1,24.27, °C
2023-May-10 03:06,210993897, 2,24.42, °C
2023-May-10 03:11,210993897, 1,24.24, °C
2023-May-10 03:11,210993897, 2,24.38, °C
2023-May-10 03:16,210993897, 1,24.19, °C
2023-May-10 03:16,210993897, 2,24.35, °C
2023-May-10 03:21,210993897, 1,24.16, °C
2023-May-10 03:21,210993897, 2,24.32, °C
2023-May-10 03:26,210993897, 1,24.14, °C
2023-May-10 03:26,210993897, 2,24.29, °C
2023-May-10 03:31,210993897, 1,24.11, °C
2023-May-10 03:31,210993897, 2,24.26, °C
2023-May-10 03:36,210993897, 1,24.09, °C
2023-May-10 03:36,210993897, 2,24.24, °C
2023-May-10 03:41,210993897, 1,24.06, °C
2023-May-10 03:41,210993897, 2,24.21, °C
2023-May-10 03:46,210993897, 1,24.03, °C
2023-May-10 03:46,210993897, 2,24.18, °C
2023-May-10 03:51,210993897, 1,24, °C
2023-May-10 03:51,210993897, 2,24.14, °C
2023-May-10 03:56,210993897, 1,23.97, °C
2023-May-10 03:56,210993897, 2,24.12, °C
2023-May-10 04:01,210993897, 1,23.95, °C
2023-May-10 04:01,210993897, 2,24.1, °C
2023-May-10 04:06,210993897, 1,23.93, °C
2023-May-10 04:06,210993897, 2,24.08, °C
2023-May-10 04:11,210993897, 1,23.91, °C
2023-May-10 04:11,210993897, 2,24.06, °C
2023-May-10 04:16,210993897, 1,23.9, °C
2023-May-10 04:16,210993897, 2,24.04, °C
2023-May-10 04:21,210993897, 1,23.88, °C
2023-May-10 04:21,210993897, 2,24.03, °C
2023-May-10 04:26,210993897, 1,23.86, °C
2023-May-10 04:26,210993897, 2,24.01, °C
2023-May-10 04:32,210993897, 1,23.84, °C
2023-May-10 04:32,210993897, 2,23.98, °C
2023-May-10 04:37,210993897, 1,23.81, °C
2023-May-10 04:37,210993897, 2,23.96, °C
2023-May-10 04:42,210993897, 1,23.79, °C
2023-May-10 04:42,210993897, 2,23.94, °C
2023-May-10 04:47,210993897, 1,23.78, °C
2023-May-10 04:47,210993897, 2,23.93, °C
2023-May-10 04:52,210993897, 1,23.76, °C
2023-May-10 04:52,210993897, 2,23.91, °C
2023-May-10 04:57,210993897, 1,23.75, °C
2023-May-10 04:57,210993897, 2,23.9, °C
2023-May-10 05:02,210993897, 1,23.74, °C
2023-May-10 05:02,210993897, 2,23.89, °C
2023-May-10 05:07,210993897, 1,23.73, °C
2023-May-10 05:07,210993897, 2,23.88, °C
2023-May-10 05:12,210993897, 1,23.72, °C
2023-May-10 05:12,210993897, 2,23.87, °C
2023-May-10 05:17,210993897, 1,23.71, °C
2023-May-10 05:17,210993897, 2,23.86, °C
2023-May-10 05:22,210993897, 1,23.69, °C
2023-May-10 05:22,210993897, 2,23.84, °C
2023-May-10 05:27,210993897, 1,23.67, °C
2023-May-10 05:27,210993897, 2,23.81, °C
2023-May-10 05:32,210993897, 1,23.65, °C
2023-May-10 05:32,210993897, 2,23.79, °C
2023-May-10 05:37,210993897, 1,23.63, °C
2023-May-10 05:37,210993897, 2,23.78, °C
2023-May-10 05:42,210993897, 1,23.62, °C
2023-May-10 05:42,210993897, 2,23.77, °C
2023-May-10 05:47,210993897, 1,23.6, °C
2023-May-10 05:47,210993897, 2,23.75, °C
2023-May-10 05:52,210993897, 1,23.57, °C
2023-May-10 05:52,210993897, 2,23.73, °C
2023-May-10 05:57,210993897, 1,23.55, °C
2023-May-10 05:57,210993897, 2,23.71, °C
2023-May-10 06:03,210993897, 1,23.54, °C
2023-May-10 06:03,210993897, 2,23.7, °C
2023-May-10 06:08,210993897, 1,23.53, °C
2023-May-10 06:08,210993897, 2,23.68, °C
2023-May-10 06:13,210993897, 1,23.52, °C
2023-May-10 06:13,210993897, 2,23.66, °C
2023-May-10 06:18,210993897, 1,23.51, °C
2023-May-10 06:18,210993897, 2,23.66, °C
2023-May-10 06:23,210993897, 1,23.49, °C
2023-May-10 06:23,210993897, 2,23.64, °C
2023-May-10 06:28,210993897, 1,23.47, °C
2023-May-10 06:28,210993897, 2,23.62, °C
2023-May-10 06:33,210993897, 1,23.45, °C
2023-May-10 06:33,210993897, 2,23.6, °C
2023-May-10 06:38,210993897, 1,23.44, °C
2023-May-10 06:38,210993897, 2,23.59, °C
2023-May-10 06:43,210993897, 1,23.43, °C
2023-May-10 06:43,210993897, 2,23.57, °C
2023-May-10 06:48,210993897, 1,23.42, °C
2023-May-10 06:48,210993897, 2,23.57, °C
2023-May-10 06:53,210993897, 1,23.41, °C
2023-May-10 06:53,210993897, 2,23.56, °C
2023-May-10 06:58,210993897, 1,23.39, °C
2023-May-10 06:58,210993897, 2,23.54, °C
2023-May-10 07:03,210993897, 1,23.37, °C
2023-May-10 07:03,210993897, 2,23.51, °C
2023-May-10 07:08,210993897, 1,23.35, °C
2023-May-10 07:08,210993897, 2,23.5, °C
2023-May-10 07:14,210993897, 1,23.34, °C
2023-May-10 07:14,210993897, 2,23.49, °C
2023-May-10 07:19,210993897, 1,23.33, °C
2023-May-10 07:19,210993897, 2,23.48, °C
2023-May-10 07:24,210993897, 1,23.32, °C
2023-May-10 07:24,210993897, 2,23.47, °C
2023-May-10 07:29,210993897, 1,23.31, °C
2023-May-10 07:29,210993897, 2,23.46, °C
2023-May-10 07:34,210993897, 1,23.29, °C
2023-May-10 07:34,210993897, 2,23.44, °C
2023-May-10 07:39,210993897, 1,23.28, °C
2023-May-10 07:39,210993897, 2,23.42, °C
2023-May-10 07:44,210993897, 1,23.27, °C
2023-May-10 07:44,210993897, 2,23.41, °C
2023-May-10 07:49,210993897, 1,23.24, °C
2023-May-10 07:49,210993897, 2,23.39, °C
2023-May-10 07:54,210993897, 1,23.22, °C
2023-May-10 07:54,210993897, 2,23.37, °C
2023-May-10 07:59,210993897, 1,23.2, °C
2023-May-10 07:59,210993897, 2,23.35, °C
2023-May-10 08:04,210993897, 1,23.19, °C
2023-May-10 08:04,210993897, 2,23.34, °C
2023-May-10 08:09,210993897, 1,23.18, °C
2023-May-10 08:09,210993897, 2,23.33, °C
