  2023-04-24 12:16:55,5s,46.8   C
  2023-04-24 12:17:00,5s,46.8   C
  2023-04-24 12:17:05,5s,46.8   C
  2023-04-24 12:17:10,5s,46.8   C
  2023-04-24 12:17:15,5s,46.8   C
  2023-04-24 12:17:20,5s,46.8   C
  2023-04-24 12:17:25,5s,46.8   C
  2023-04-24 12:17:30,5s,46.8   C
  2023-04-24 12:17:35,5s,46.8   C
  2023-04-24 12:17:40,5s,46.8   C
  2023-04-24 12:17:45,5s,46.8   C
  2023-04-24 12:17:50,5s,46.7   C
  2023-04-24 12:17:55,5s,46.7   C
  2023-04-24 12:18:00,5s,46.7   C
  2023-04-24 12:18:05,5s,46.7   C
  2023-04-24 12:18:10,5s,46.7   C
  2023-04-24 12:18:15,5s,46.7   C
  2023-04-24 12:18:20,5s,46.7   C
  2023-04-24 12:18:25,5s,46.7   C
  2023-04-24 12:18:30,5s,46.7   C
  2023-04-24 12:18:35,5s,46.7   C
  2023-04-24 12:18:40,5s,46.7   C
  2023-04-24 12:18:45,5s,46.7   C
  2023-04-24 12:18:50,5s,46.7   C
  2023-04-24 12:18:55,5s,46.7   C
  2023-04-24 12:19:00,5s,46.7   C
  2023-04-24 12:19:05,5s,46.7   C
  2023-04-24 12:19:10,5s,46.7   C
  2023-04-24 12:19:15,5s,46.7   C
  2023-04-24 12:19:20,5s,46.7   C
  2023-04-24 12:19:25,5s,46.7   C
  2023-04-24 12:19:30,5s,46.7   C
  2023-04-24 12:19:35,5s,46.7   C
  2023-04-24 12:19:40,5s,46.7   C
  2023-04-24 12:19:45,5s,46.6   C
  2023-04-24 12:19:50,5s,46.6   C
  2023-04-24 12:19:55,5s,46.6   C
  2023-04-24 12:20:00,5s,46.6   C
  2023-04-24 12:20:05,5s,46.6   C
  2023-04-24 12:20:10,5s,46.6   C
  2023-04-24 12:20:15,5s,46.6   C
  2023-04-24 12:20:20,5s,46.6   C
  2023-04-24 12:20:25,5s,46.6   C
  2023-04-24 12:20:30,5s,46.6   C
  2023-04-24 12:20:35,5s,46.6   C
  2023-04-24 12:20:40,5s,46.6   C
  2023-04-24 12:20:45,5s,46.6   C
  2023-04-24 12:20:50,5s,46.6   C
  2023-04-24 12:20:55,5s,46.6   C
  2023-04-24 12:21:00,5s,46.6   C
  2023-04-24 12:21:05,5s,46.6   C
  2023-04-24 12:21:10,5s,46.6   C
  2023-04-24 12:21:15,5s,46.6   C
  2023-04-24 12:21:20,5s,46.6   C
  2023-04-24 12:21:25,5s,46.6   C
  2023-04-24 12:21:30,5s,46.6   C
  2023-04-24 12:21:35,5s,46.6   C
  2023-04-24 12:21:40,5s,46.5   C
  2023-04-24 12:21:45,5s,46.5   C
  2023-04-24 12:21:50,5s,46.5   C
  2023-04-24 12:21:55,5s,46.5   C
  2023-04-24 12:22:00,5s,46.5   C
  2023-04-24 12:22:05,5s,46.5   C
  2023-04-24 12:22:10,5s,46.5   C
  2023-04-24 12:22:15,5s,46.5   C
  2023-04-24 12:22:20,5s,46.5   C
  2023-04-24 12:22:25,5s,46.5   C
  2023-04-24 12:22:30,5s,46.4   C
  2023-04-24 12:22:35,5s,46.4   C
  2023-04-24 12:22:40,5s,46.4   C
  2023-04-24 12:22:45,5s,46.4   C
  2023-04-24 12:22:50,5s,46.4   C
  2023-04-24 12:22:55,5s,46.4   C
  2023-04-24 12:23:00,5s,46.4   C
  2023-04-24 12:23:05,5s,46.4   C
  2023-04-24 12:23:10,5s,46.4   C
  2023-04-24 12:23:15,5s,46.4   C
  2023-04-24 12:23:20,5s,46.4   C
  2023-04-24 12:23:25,5s,46.4   C
  2023-04-24 12:23:30,5s,46.4   C
  2023-04-24 12:23:35,5s,46.4   C
  2023-04-24 12:23:40,5s,46.4   C
  2023-04-24 12:23:45,5s,46.4   C
  2023-04-24 12:23:50,5s,46.4   C
  2023-04-24 12:23:55,5s,46.4   C
  2023-04-24 12:24:00,5s,46.4   C
  2023-04-24 12:24:05,5s,46.4   C
  2023-04-24 12:24:10,5s,46.3   C
  2023-04-24 12:24:15,5s,46.3   C
  2023-04-24 12:24:20,5s,46.3   C
  2023-04-24 12:24:25,5s,46.3   C
  2023-04-24 12:24:30,5s,46.3   C
  2023-04-24 12:24:35,5s,46.3   C
  2023-04-24 12:24:40,5s,46.3   C
  2023-04-24 12:24:45,5s,46.3   C
  2023-04-24 12:24:50,5s,46.3   C
  2023-04-24 12:24:55,5s,46.3   C
  2023-04-24 12:25:00,5s,46.3   C
  2023-04-24 12:25:05,5s,46.3   C
  2023-04-24 12:25:10,5s,46.3   C
  2023-04-24 12:25:15,5s,46.3   C
  2023-04-24 12:25:20,5s,46.3   C
  2023-04-24 12:25:25,5s,46.3   C
  2023-04-24 12:25:30,5s,46.3   C
  2023-04-24 12:25:35,5s,46.3   C
  2023-04-24 12:25:40,5s,46.3   C
  2023-04-24 12:25:45,5s,46.3   C
  2023-04-24 12:25:50,5s,46.3   C
  2023-04-24 12:25:55,5s,46.3   C
  2023-04-24 12:26:00,5s,46.3   C
  2023-04-24 12:26:05,5s,46.3   C
